Empresa,Modalidade de apoio
Gabisa Medical International Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"DC Química, Representação e Comércio de Produtos Químicos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mvisia Desenvolvimentos Inovadores Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Acquest Geologia e Geofísica Subaquática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Integrare Aprendizagem e Treinamento Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eletrize Locação e Desenvolvimento de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Caos Focado Consultoria Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onion Tecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pullup Soluções Sistemas Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Já! - Indústria e Comércio de Produtos e Serviços de Tecnologia da Informação e Comunicação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cursor - Softwares para Identificação e Controle Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Yechi Comercial, Locadora, Distribuidora, Importadora e Exportadora de Produtos em Geral Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Colly Química Indústria e Comércio Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pangeiabiotech Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cross Reality Sistemas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innolution Sistemas de Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DMA Indústria e Tecnologia Eireli - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Neoinfinito Softwares - Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Avita Produtos Químicos Farmacêuticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
João Batista Sgorbissa - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innovare Biotecnologia e Saúde Animal Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dietech Automação Industrial e Robótica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Propark Paisagismo e Ambiente Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sustentare Gestão e Treinamento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Geomap Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Umbu Negócios Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
NBL Engenharia Ambiental Eireli - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inovafi - Física Aplicada a Inovação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Afinko Soluções em Polímeros Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Achilles Genetics Biotecnologia em Reprodução Animal Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onkos Diagnósticos Moleculares Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Altave Indústria, Comércio e Exportação de Aeronaves S/A",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SP Pesquisa e Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Promip Comércio, Pesquisas e Desenvolvimento de Agentes Biológicos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Viafauna Estudos Ambientais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MGov Brasil Consultoria em Gestão de Políticas Públicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vinicius Mourão Alves de Souza,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Labmath Assessoria e Consultoria Técnica Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Laboratório Biosintesis P & D do Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Smartbio Desenvolvimento Tecnológico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Treevia Serviços de Engenharia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dentillo e Gavio Identificação e Quantificação Molecular Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tambora Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Naked Monkey Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"EVA Scientific Indústria, Comércio e Serviços Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dspgeo Serviços em Engenharia Aplicada à Geofísica e Petróleo Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BR Labs Tecnologia Óptica e Fotônica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TV On Demand Consultoria e Soluções S/S Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fernando Takashi Kanemoto,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Peixe do Mar Aquicultura Marinha Sustentável Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TROV Serviços Tecnológicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pierossi Consultoria Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sisterm - Comércio e Instalação de Ar Condicionado Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Altave Indústria, Comércio e Exportação de Aeronaves S/A",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BrPhotonics Produtos Optoeletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Andrea Stockl Gerosa,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Partículas Desenvolvimento e Tecnologia em Materiais Ligno Celulósicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dr Stanley Nutrição e Bem Estar Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ciaware Centro de Informatizações e Análises Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dsma Desenvolvimento Sustentável e Monitoramento Ambiental Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fortelab Fornos Técnicos de Laboratório Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Accert Indústria, Comércio, Importação e Exportação em Química e Biotecnologia Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Savol Indústria e Comércio e Máquinas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cogneti-Tec Sistemas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lebre Pesquisa e Desenvolvimento de Equipamentos Esportivos Adaptados Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Doppia M Projetos Socioculturais e Serviços Administrativos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Promip Comércio, Pesquisas e Desenvolvimento de Agentes Biológicos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Embriofert Clínica Médica Hospitalar Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Gene Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Jetquímica Indústria e Comércio Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dínamo Automação Industrial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tambora Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
AMS Kepler Engenharia de Sistemas Ltda (Filial),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onset Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Electric Dreams Engenharia da Mobilidade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mobwise Consultoria em Engenharia e Softwares Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Altave Indústria, Comércio e Exportação de Aeronaves S/A",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mikro Metais Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Zuggi Tecnologia e Comércio Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Florilegus Comércio e Serviços Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Zuannon Projetos Visuais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Red, Orange and Green Tecnologias Ambientais Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Elabora Biosolutions Bioengenharia Bioprocessos e Inovação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Surface - Engenharia e Soluções a Plasma Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
GRAUTEC PDI Serviços de Consultoria Farmacêuticas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Chemyunion Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Tagg Equipamentos e Serviços para Agroindústria, Agropecuária e Meio Ambiente Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mmtech Projetos Tecnológicos Importação e Exportação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SP Pesquisa e Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inovação Paulista Fundo de Investimento em Participações,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tecplas Indústria e Comércio Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanox Tecnologia S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sysport Sistemas Aeroportuários Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Limpgas Tecnologia em Descarte de Gases Industriais Ltda (Limpgas),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fermentec Assistência Técnica em Fermentação Alcoólica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Glyom Pesquisas Tecnológicas em Glicerina Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Elabora P&D, Computação e Sistemas de Informática Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Terra Azul Tecnologia de Polímeros Naturais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TEC3GEO - Geotecnologias Inovativas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Centagro - Centro Tecnológico Agropecuário Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Piaram Produtos Nanotecnológicos, Assessoria, Pesquisa e Desenvolvimento de Produtos e Processos Químicos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Acen Microeletrônica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Binderware Ciência e Tecnologia em Biomateriais Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Celso Tomazin Junior,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Spinnano Semicondutores Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Time Energy Indústria e Comércio Eireli - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Leona Indústria e Comércio de Materiais e Ligas Odontológicas e Médicas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onion Tecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
XMobots Aeroespacial e Defesa Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Techduto Indústria e Comércio de Máquinas e Artefatos de Plásticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
XMobots Aeroespacial e Defesa Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mvisia Desenvolvimentos Inovadores Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Calil & Icimoto Madeiras Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Acquest Geologia e Geofísica Subaquática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Partecurae Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agromic Pesquisas e Desenvolvimento Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fabio Nakashima e Outro,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pullup Soluções Sistemas Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CFLEX Computação Flexível Aplicada Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vivax Serviços Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Koppert do Brasil Holding Ltda (Koppert),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Selsan Tecnologia Industrial e Comercial Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Wolff Biotec - Pesquisa e Desenvolvimento Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pergaminno Inovação na Agricultura Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Geodez Consultoria em Cerâmica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Chemyunion Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fermium Tecnologia Nuclear Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
RMF Consultoria S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ecomenia Assessoria Sócio Ambiental Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fermentec Assistência Técnica em Fermentação Alcoólica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Educommatica Educação, Comunicação e Informática S/C Ltda. - EPP",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Criteria Indústria, Comércio, Importação e Exportação de Produtos Medicinais Odontológicos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rehder Consultoria de Engenharia e Idiomas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Accert Indústria, Comércio, Importação e Exportação em Química e Biotecnologia Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Technomar Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Manoel Soares Neto Automação Industrial - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Elabora P&D, Computação e Sistemas de Informática Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Solo Sapiens Indústria e Comércio de Inoculantes Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
RK Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Metamáquina Comércio de Kits Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Medecell do Brasil Comércio e Importação Ltda (Medecell),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Libera Tecnologia e Inovação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
PV Prest Vácuo Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Acaimazon Pesquisa, Indústria e Comércio de Açai Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tecplas Indústria e Comércio Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Narcissus Pesquisa Clínica e Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Algae Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Foco Ambiental Indústria e Comércio Ltda (FOCO),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Compumédica Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Selaz Indústria e Comércio de Aparelhos Biomecânicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Smartbio Desenvolvimento Tecnológico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Deoxi Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Verdaz Gestão Sustentável e Consultoria Ambiental Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Espaço Forma e Projetos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Condor Instruments Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BCS Tecnologia e Serviços Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Chemyunion Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Vitro Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ecomol Consultoria e Projetos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
